sms_stemmed,Actual Classification,Predicted Classification
spjanuari male sale hot gay chat cheaper call nation rate cheap peak stop text call,1,1.0
yeah leav mayb,0,0.0
wont tri sort hous ok,0,0.0
much cost,0,0.0
someth came last think wun sign hee,0,0.0
hi harish rent transfr ur acnt,0,0.0
got back dislik bed,0,0.0
marri local women look discreet action real match instantli phone text match msg cost stop txt stop,1,1.0
watch,0,0.0
thank much skype wit kz sura didnt get pleasur compani hope good given ultimatum oh countin aburo enjoy messag sent day ago,0,0.0
hear,0,0.0
yup,0,0.0
want go perumbavoor,0,0.0
outsid island head toward hard rock run,0,0.0
special today,0,0.0
im fine babe aint much tho saw scari movi yest quit funni want afternoon town mall sumthin xx,0,0.0
alright make sure car back tonight,0,0.0
mag meet avo point,0,0.0
sorri call later,0,0.0
problem,0,0.0
wont touch permiss,0,0.0
ok,0,0.0
collect valentin weekend pari inc flight hotel prize guarante text pari,1,1.0
sorri wont come drive,0,0.0
hi kate give ring asap xxx,0,0.0
time come tomorrow,0,0.0
see messag leav congrat dear school wat ur plan,0,0.0
sorri miss babe late slept hope enjoy drive lesson boytoy miss,0,0.0
time wrkin,0,0.0
that cool gentleman treat digniti respect,0,0.0
mile smile made frm letter know smile ur face keep happi even though mile away keep good nyt,0,0.0
apart one told yesterday,0,0.0
pop ask bout someth said around tonght wen girl come,0,0.0
tell shola pleas go colleg medicin visit academ depart tell academ secretari current situat ask transfer ask someon check sagamu thing lautech vital complet medic educ nigeria less expens much less expens unless get citizen rate new zealand,0,0.0
custom place call,0,0.0
train tomorrow,0,0.0
warner villag colin farrel swat wkend warner villag get free med popcorn show kiosk repli soni mre film offer,1,0.0
fine simpli sit,0,0.0
wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,0,0.0
thank honey still heard anyth leav bit longer crowd tri later great advic thank hope cardiff still,0,0.0
tuesday night real,0,0.0
awesom deal gate charl told last night uh yeah,0,0.0
got look scrumptiou daddi want eat night long,0,0.0
geeee miss alreadi know think fuck ca wait till next year togeth,0,0.0
ok ill tell compani,0,0.0
sure yet still tri get hold,0,0.0
inde way either,0,0.0
much will pay,0,0.0
today accept accept brother sister lover lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,0,0.0
could read love answer,0,0.0
lyricalladi invit friend repli see stop send stop frnd,1,1.0
great day beauti one,0,0.0
everi week vl,0,0.0
tri contact repli offer video handset anytim network min unlimit text camcord repli call,1,1.0
might accid tookplac somewher ghodbandar rd traffic move slove plz slip amp worri,0,0.0
ultim tor motiv tui achiev korli,0,0.0
aight yo dat straight dogg,0,0.0
wow think common take back ur freak unless chop,0,0.0
fret buy ovul test strip send wont get til like march send postal,0,0.0
sunshin quiz wkli win top soni dvd player know countri algarv txt ansr sp tyron,1,1.0
dear friend sorri late inform today birthday love detail log face book see number lt gt dont miss delici treat,0,0.0
hi ami send free phone number coupl day give access adult parti,1,0.0
pleas ask macho price rang want someth new use plu interfu blackberri bold lt gt bb,0,0.0
reali recognis number confus pleas,0,0.0
sister kid,0,0.0
free today haf pick parent tonit,0,0.0
one issu california okay snow manag,0,0.0
messag brought gmw connect,1,0.0
make dinner,0,0.0
drive rain get caught mrt station lor,0,0.0
finish soon,0,0.0
hi final complet cours,0,0.0
normal use drink water daili,0,0.0
noth got msg frm tht unknown,0,0.0
fine happi amp,0,0.0
still grinder,0,0.0
hous water dock boat roll newscast dabbl jazz flute behind wheel,0,0.0
start search get job great potenti talent,0,0.0
aight see bit,0,0.0
meet rite go home lor dun feel like comin ok,0,0.0
exact intent,0,0.0
thank god bed,0,0.0
said would woke,0,0.0
guy kadeem sell sinc break know one guy paranoid fuck like sell without ca til late tonight,0,0.0
huh lei,0,0.0
forward hi mailbox messag sm alert match pleas call back retriev messag match,1,1.0
much bad avoid like,0,0.0
jamster get crazi frog sound poli text real text crazi sound appli,1,1.0
boy sweet word left morn goe day love start studi,0,0.0
contin,0,0.0
ye trust buy new stuff asap tri,0,0.0
wondarful song,0,0.0
wyli updat weed dealer carlo went freedom class lunsford,0,0.0
campu librari,0,0.0
chanc win free bluetooth headset simpli repli back,1,1.0
oh charg camera,0,1.0
noth wen get life everyth wen miss someth real valu peopl wil realiz absenc gud mrng,0,0.0
lol ye friendship hang thread caus wo buy stuff,0,0.0
much cost approx per month,0,0.0
train back northampton afraid,0,0.0
busi juz dun wan go,0,0.0
smile pleasur smile pain smile troubl pour like rain smile hurt smile becoz someon still love see smile,0,0.0
night sweet sleep well see exorc emili rose may never sleep hug snog,0,0.0
hey happi birthday,0,0.0
half price orang line rental latest camera phone free phone call mobilesdirect free updat cs,1,1.0
lol pleas actual send pic right wan na see pose comb hair dryer someth,0,0.0
good movi ok leav hourish,0,0.0
ok lar doubl check wif da hair dresser alreadi said wun cut short said cut look nice,0,0.0
someonon know tri contact via date servic find could call mobil landlin,1,1.0
new messag call,1,1.0
sorri got late start way,0,0.0
sorri call later,0,0.0
final came fix ceil,0,0.0
watch movi alreadi xy want shop shop,0,0.0
poke man everyday teach canada abi say hi,0,0.0
hey go quit soon xuhui work till end month,0,0.0
ummmmmaah mani mani happi return day dear sweet happi birthday dear,0,0.0
catch bu fri egg make tea eat mom left dinner feel love,0,0.0
ur current pound maxim ur send cash cc po box,1,1.0
get class bsn like lt gt minut know advis,0,0.0
also fine complet cours,0,0.0
de look good,0,0.0
horribl gal knew dat go wif yest still come ask,0,0.0
congratul winner august prize draw call prize code,1,1.0
sorri call later,0,0.0
rememb ask alex pizza,0,0.0
ok prob,0,0.0
oooh bed ridden ey think,0,0.0
live love also laugh win tooo gud nte,0,0.0
thank yesterday sir wonder hope enjoy burial mojibiola,0,0.0
yeah get unlimit,0,0.0
thank winner notifi sm good luck futur market repli stop custom servic,1,1.0
that cool sometim slow gentl sonetim rough hard,0,0.0
new address pair malarki,0,0.0
derek done class,0,0.0
simpson movi releas juli name band die start film day day day send,1,0.0
wiskey brandi rum gin beer vodka scotch shampain wine yarasu dhina vaazhthukk,0,0.0
plan,0,0.0
let ur heart ur compass ur mind ur map ur soul ur guid never loos world sent via,0,0.0
take lt gt min,0,0.0
record indic mayb entitl pound compens accid claim free repli claim msg stop txt stop,1,1.0
make sens btw carlo difficult guy gon na smoke go pick second batch get ga,0,0.0
sorri vikki watch olav mandara movi kano trishul theatr wit,0,0.0
chang one next escal,0,0.0
twenti past five said train durham alreadi coz reserv seat,0,0.0
ask dad pick lar    wan stay meh,0,0.0
lol boo hope laugh,0,0.0
yup noe leh,0,0.0
tkt cup final cash collect call pobox,1,1.0
onlyfound afew day,0,0.0
ok prob come lunch,0,0.0
decid yet eh,0,0.0
sent send,0,0.0
get librari,0,0.0
dear chechi talk,0,0.0
jolli good way give ticket sat eve speak,0,0.0
lol would mom would fit tell whole famili crazi terribl,0,0.0
park next mini come today think,0,0.0
pl send compani name saibaba colani,0,0.0
lul im gettin juici gossip hospit two nurs talk fat gettin one think she obes oyea,0,0.0
wen ur lovabl bcum angri wid dnt take coz angri childish true way show deep affect care luv kettoda manda nice day da,0,0.0
pl go ahead watt want sure great weekend abiola,0,0.0
noe send file comput,0,0.0
alrit,0,0.0
littl med say take everi hour pain back took anoth hope die,0,0.0
garag key bookshelf,0,0.0
sorri sir call tomorrow,0,0.0
hmm bad news hype park plaza studio taken left,0,0.0
remind get pound free call credit detail great offer pl repli text valid name hous postcod,1,1.0
taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak,0,0.0
eh ur laptop got stock lei say mon muz come take look got,0,0.0
littl difficult simpl way enter place,0,0.0
reason spoken year anyway great week best exam,0,0.0
neva grumbl sad lor hee buy tmr lor aft lunch still meetin lunch tmr neva hear fr lei    got lot work ar,0,0.0
give kvb acc detail,0,0.0
school da lab stuff give call done,0,0.0
send logo ur lover name join heart txt love mobno eg love adam eve yahoo txtno ad,1,1.0
big brother alert comput select cash voucher call ntt po box bt landlin cost mobil vari,1,1.0
see ca see mayb reboot ym seen buzz,0,0.0
eh sorri leh din ur msg sad alreadi lar watch tv still offic,0,0.0
bring home wendi,0,0.0
oh oki lor go sat,0,0.0
dip cell dead come better respond els shall come back,0,0.0
urgent pleas call landlin abta complimentari tenerif holiday cash await collect sae cs box,1,1.0
ok,0,0.0
ye watch footi worri go blow phil nevil,0,0.0
wan earli lei outsid wun home earli neva mind,0,0.0
lol yep yesterday alreadi got fireplac anoth icon sit,0,0.0
mani lick take get center tootsi pop,0,0.0
diet ate mani slice pizza yesterday ugh alway diet,0,0.0
chinatown got porridg claypot rice yam cake fishhead beehoon either eat cheap den go cafe tok go nydc somethin,0,0.0
doubl evict week spiral michael good riddanc,0,0.0
class get text,0,0.0
santa call would littl one like call santa xma eve call book time last,1,0.0
ok,0,0.0
dude got haircut breezi,0,0.0
want sent lt gt mesag today that sorri hurt,0,0.0
fren go lor alon wif mum si lor,0,0.0
eaten day sit stare juici pizza ca eat med ruin life,0,0.0
mean left earli check co work,0,0.0
nutter cutter ctter cttergg cttargg ctargg ctagg ie,0,0.0
ca speak bcaz mobil problem listen listen voic call later,0,0.0
urgent mobil award bonu caller prize attempt contact call,1,1.0
well know take care worri,0,0.0
drive train,0,0.0
congrat treat maga,0,0.0
ye one woman man pleas tell like dislik bed,0,0.0
singl line big mean anyth ur best miss ur best life anyth gud nyt,0,0.0
ok meet later,0,0.0
theyr lot place hospit medic place safe,0,0.0
bill letter expect one orang bill may still say orang,0,0.0
lmao know well,0,0.0
sun ah thk mayb dun anythin thk book lesson pilat orchard mrt noe hor,0,0.0
lt gt pple marri lover becz hav gud undrstndng dat avoid problem sent di wil get gud news friday person like tomorrow best day life dont break chain break suffer send lt gt frnd lt gt min whn read,0,0.0
buy newspap alreadi,0,0.0
ranjith cal drpd deeraj deepak hold,0,0.0
secret admir look make contact think ur,1,1.0
tell call claim prize enter ur mobil person detail prompt care,1,1.0
put sign choos number pin show right,0,0.0
wot bitch,0,0.0
lot use one babe model help youi bring match,0,0.0
love give massag use lot babi oil fave posit,0,0.0
ye last week take live call,0,0.0
signific,0,0.0
get gandhipuram walk cross cut road right side lt gt street road turn first right,0,0.0
lol come idea,0,0.0
yeah fact ask need anyth like hour ago much,0,0.0
want new video phone anytim network min inclus video call download per week free deltomorrow call repli,1,1.0
need coz never go,0,0.0
mean fat head,0,0.0
congrat mobil videophon call videochat wid mate play java game dload polyph music nolin rentl,1,1.0
happend,0,0.0
hi babe thank come even though didnt go well want bed hope see soon love kiss xxx,0,0.0
sent type food like,0,0.0
anyth special,0,0.0
length top shorter got fring thk go liao lazi dun wan distract also,0,0.0
dont pack buy cereal must pack food pack gari someth miss,0,0.0
good babi,0,0.0
ye babi need stretch open pussi,0,0.0
reassur crazi world,0,0.0
merri christma anni,0,0.0
thank messag realli appreci sacrific sure process direct pay find way back test tomorrow class wonder day,0,0.0
en chikku nang bakra msg,0,0.0
yar want scold yest late alreadi got zhong se qing ask ask go lor still act real,0,0.0
guarante award even cashto claim ur award call free stop getstop php,1,1.0
dun say earli hor alreadi say,0,0.0
time come later,0,0.0
hi babe im home wan na someth xx,0,0.0
neft transact refer number lt gt rs lt decim gt credit beneficiari account lt gt lt time gt lt gt,0,0.0
calm downon itxt co iwana know wotu doin haventcn ur neth,0,0.0
well big surpris,0,0.0
thank gud nyt,0,0.0
sorri call later meet sir,0,0.0
said matter mind say matter,0,0.0
